000197b259c2857c,"{'q_num_answer': 3, 'q_first_answerer': '96312c4326a9ee95'}"
00028b1f656771f6,"{'q_num_answer': 4, 'q_first_answerer': 'ba4ade303199b464'}"
00028a8809378d4c,"{'q_num_answer': 1, 'q_first_answerer': '07977e17926a9ac2'}"
0001ed8db5ef373b,"{'q_num_answer': 2, 'q_first_answerer': 'cbb9118170d1365c'}"
000287f307dae776,"{'q_num_answer': 11, 'q_first_answerer': '0c064316d7026936'}"
00003cbab282c610,"{'q_num_answer': 14, 'q_first_answerer': 'b0e7a71b5229124b'}"
000236212b6cc54d,"{'q_num_answer': 3, 'q_first_answerer': '4bce2536c46846bb'}"
0001c3bc5fb8e4e8,"{'q_num_answer': 10, 'q_first_answerer': 'eb1d171148043edb'}"
0000b42a5d5d978f,"{'q_num_answer': 4, 'q_first_answerer': '83e4da10655ba2d9'}"
00013c0cfcb2cf47,"{'q_num_answer': 2, 'q_first_answerer': '15e7c1e586a6e8ca'}"
0001029dd5c620f9,"{'q_num_answer': 2, 'q_first_answerer': 'e4f50535d236b55c'}"
00029080b77cca18,"{'q_num_answer': 12, 'q_first_answerer': '5806a08f0a4ece5c'}"
00020d0f43fe95e2,"{'q_num_answer': 2, 'q_first_answerer': 'e1980e6cf11e04dd'}"
0002a505db14fff9,"{'q_num_answer': 13, 'q_first_answerer': 'a1dc16d929f1fa73'}"
00017d3681e98b03,"{'q_num_answer': 8, 'q_first_answerer': '36f9a1a854462dfa'}"
00013a1b110c5302,"{'q_num_answer': 16, 'q_first_answerer': 'd915d8922522ef81'}"
00016559643f3184,"{'q_num_answer': 1, 'q_first_answerer': '52d11d154c050eaf'}"
00007957b557d30c,"{'q_num_answer': 2, 'q_first_answerer': '8254ffc0d5ac3ccf'}"
00022923a5df7bd4,"{'q_num_answer': 3, 'q_first_answerer': 'ddce716319a24f10'}"
0002132b025b701d,"{'q_num_answer': 7, 'q_first_answerer': '3f924a6ac51259a2'}"
00018460cd71bbe2,"{'q_num_answer': 4, 'q_first_answerer': '90c596a172c5b7ee'}"
000116226eaf92a9,"{'q_num_answer': 4, 'q_first_answerer': '36346f4c53c2e8b6'}"
000294bc75156562,"{'q_num_answer': 22, 'q_first_answerer': '9b9f26bd5a70d620'}"
0001fabf30e3f4c1,"{'q_num_answer': 5, 'q_first_answerer': '9c75bbf94596c2d2'}"
